Location,Filename,Year,Month,Day,Hour,AQI,AQI_Class,Date,PM2.5,PM10,CO,NO2,SO2,O3
"Biratnagar, Nepal",BIR_UFSG_2023-02-14- 14.30-3-45.jpg,2023,2,14,12,101,c_Unhealthy_for_Sensitive_Groups,2023-02-14,43.3,62.6,471.0,15.4,7.5,101.0
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 15.00-2-87.jpg,2023,2,2,12,156,d_Unhealthy,2023-02-02,57.2,81.7,581.0,12.1,8.5,98.0
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-2-111.jpg,2023,2,16,12,293,e_Very_Unhealthy,2023-02-16,2.0,3.3,115.0,0.6,0.0,52.0
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-24-08.30-1-289.jpg,2023,2,24,12,141,c_Unhealthy_for_Sensitive_Groups,2023-02-24,132.7,224.4,1109.0,243.3,40.8,181.0
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-1-127.jpg,2023,2,2,12,158,d_Unhealthy,2023-02-02,57.2,81.7,581.0,12.1,8.5,98.0
"ITO, Delhi",DEL_SEV_2023-02-20-14.00-3-316.jpg,2023,2,20,12,363,f_Severe,2023-02-20,4.4,7.8,136.0,0.3,0.0,76.0
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-3145.jpg,2022,10,2,12,230,e_Very_Unhealthy,2022-10-02,16.6,23.7,513.0,2.0,1.8,93.0
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 15.00-4-56.jpg,2023,2,2,12,156,d_Unhealthy,2023-02-02,57.2,81.7,581.0,12.1,8.5,98.0
Mumbai,MH_UnFSG_2023-02-17-13.00-2-1.jpg,2023,2,17,12,140,c_Unhealthy_for_Sensitive_Groups,2023-02-17,64.3,96.9,620.0,42.0,43.7,225.0
Bengaluru,BENGR_Mod_2023-02-24-08.30-1-21.jpg,2023,2,24,12,68,b_Moderate,2023-02-24,11.3,16.6,250.0,9.2,10.1,126.0
Tamil Nadu,TN_UnFSG_2023-03-02-08.30-1-236.jpg,2023,3,2,12,119,c_Unhealthy_for_Sensitive_Groups,2023-03-02,8.6,16.2,185.0,2.6,1.1,86.0
Mumbai,MH_UH_2023-02-14-11.30-1-29.jpg,2023,2,14,12,160,d_Unhealthy,2023-02-14,81.3,119.0,721.0,41.8,52.8,260.0
Bengaluru,BENGR_Good_2023-02-28-08.30-1-451.jpg,2023,2,28,12,37,a_Good,2023-02-28,27.2,39.7,398.0,7.6,7.8,127.0
Mumbai,MH_VUN_2023-03-05-08.30-2-361.jpg,2023,3,5,12,284,e_Very_Unhealthy,2023-03-05,278.5,401.4,1413.0,23.7,39.9,325.0
Mumbai,MH_UH_2023-02-19-12.00-1-58.jpg,2023,2,19,12,160,d_Unhealthy,2023-02-19,143.0,205.8,1159.0,48.0,73.1,327.0
"Biratnagar, Nepal",BRI_Un_2023-02-09-08.00-12.jpg,2023,2,9,12,171,d_Unhealthy,2023-02-09,94.8,138.8,596.0,11.1,12.4,122.0
"Biratnagar, Nepal",BIR_MOD_2023-02-13-09.30-5.jpg,2023,2,13,12,91,b_Moderate,2023-02-13,40.7,59.3,429.0,13.7,9.2,101.0
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-24-08.30-1-301.jpg,2023,2,24,12,141,c_Unhealthy_for_Sensitive_Groups,2023-02-24,132.7,224.4,1109.0,243.3,40.8,181.0
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-16.00-2-57.jpg,2023,2,3,12,141,c_Unhealthy_for_Sensitive_Groups,2023-02-03,69.8,99.7,581.0,11.6,6.8,112.0
Bengaluru,BENGR_Mod_2023-03-06-08.30-1-66.jpg,2023,3,6,12,68,b_Moderate,2023-03-06,12.6,18.6,218.0,6.5,8.2,129.0
Mumbai,MH_VUN_2023-02-25-10.00-1-66.jpg,2023,2,25,12,206,e_Very_Unhealthy,2023-02-25,64.3,98.3,654.0,37.4,50.9,173.0
Bengaluru,BENGR_Mod_2023-02-25-08.30-1-181.jpg,2023,2,25,12,73,b_Moderate,2023-02-25,19.2,27.9,256.0,7.8,9.3,142.0
Mumbai,MH_VUN_2023-03-05-08.30-1-1.jpg,2023,3,5,12,284,e_Very_Unhealthy,2023-03-05,278.5,401.4,1413.0,23.7,39.9,325.0
Mumbai,MH_UH_2023-02-19-12.00-1-4.jpg,2023,2,19,12,160,d_Unhealthy,2023-02-19,143.0,205.8,1159.0,48.0,73.1,327.0
"ITO, Delhi",DEL_SEV_2023-02-17-13.00-2-51.jpg,2023,2,17,12,372,f_Severe,2023-02-17,0.2,0.3,91.0,0.1,0.0,49.0
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-1-21.jpg,2023,2,2,12,158,d_Unhealthy,2023-02-02,57.2,81.7,581.0,12.1,8.5,98.0
"ITO, Delhi",DEL_VUH_2023-02-04-17.00-2-38.jpg,2023,2,4,12,281,e_Very_Unhealthy,2023-02-04,2.8,4.9,89.0,0.2,0.1,62.0
Mumbai,MH_UH_2023-02-10-14.30-1-80.jpg,2023,2,10,12,160,d_Unhealthy,2023-02-10,74.7,110.8,581.0,28.9,36.7,198.0
Bengaluru,BENGR_Good_2023-03-25-08.30-1-85.jpg,2023,3,25,12,32,a_Good,2023-03-25,26.6,39.9,248.0,8.4,5.4,133.0
"ITO, Delhi",DEL_VUnH_2023-02-16-14.00-2-3.jpg,2023,2,16,12,268,e_Very_Unhealthy,2023-02-16,2.0,3.3,115.0,0.6,0.0,52.0
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-4913.jpg,2022,10,2,12,230,e_Very_Unhealthy,2022-10-02,16.6,23.7,513.0,2.0,1.8,93.0
"ITO, Delhi",DEL_UnH_2023-02-15-11.30-2-21.jpg,2023,2,15,12,179,d_Unhealthy,2023-02-15,2.5,3.7,124.0,1.0,0.0,54.0
Bengaluru,BENGR_Mod_2023-02-25-08.30-1-416.jpg,2023,2,25,12,73,b_Moderate,2023-02-25,19.2,27.9,256.0,7.8,9.3,142.0
Bengaluru,BENGR_UnFSG_2023-03-08-08.30-1-446.jpg,2023,3,8,12,106,c_Unhealthy_for_Sensitive_Groups,2023-03-08,16.9,24.7,244.0,5.9,5.7,120.0
Tamil Nadu,TN_UHFSG_2023-02-10-08.30-1-8.jpg,2023,2,10,12,105,c_Unhealthy_for_Sensitive_Groups,2023-02-10,3.4,5.3,152.0,3.8,0.5,78.0
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-2-89.jpg,2023,2,16,12,293,e_Very_Unhealthy,2023-02-16,2.0,3.3,115.0,0.6,0.0,52.0
Mumbai,MH_Good_2023-03-22-18.00-1-469.jpg,2023,3,22,12,47,a_Good,2023-03-22,16.2,31.8,249.0,15.6,16.8,76.0
Mumbai,MH_VUN_2023-03-05-08.30-2-376.jpg,2023,3,5,12,284,e_Very_Unhealthy,2023-03-05,278.5,401.4,1413.0,23.7,39.9,325.0
Bengaluru,BENGR_Mod_2023-03-01-08.30-1-286.jpg,2023,3,1,12,70,b_Moderate,2023-03-01,17.0,25.4,362.0,6.3,6.0,122.0
Tamil Nadu,TN_MOD_2023-02-09-08.30-1-27.jpg,2023,2,9,12,78,b_Moderate,2023-02-09,20.1,29.8,485.0,57.4,2.2,10.0
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-24-08.30-1-337.jpg,2023,2,24,12,141,c_Unhealthy_for_Sensitive_Groups,2023-02-24,132.7,224.4,1109.0,243.3,40.8,181.0
Mumbai,MH_VUN_2023-03-05-08.30-2-26.jpg,2023,3,5,12,284,e_Very_Unhealthy,2023-03-05,278.5,401.4,1413.0,23.7,39.9,325.0
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 15.00-3-51.jpg,2023,2,2,12,156,d_Unhealthy,2023-02-02,57.2,81.7,581.0,12.1,8.5,98.0
"Biratnagar, Nepal",BIR_UFSG_2023-02-14- 14.30-1-53.jpg,2023,2,14,12,101,c_Unhealthy_for_Sensitive_Groups,2023-02-14,43.3,62.6,471.0,15.4,7.5,101.0
"ITO, Delhi",DEL_SEV_2023-02-20-14.00-1-131.jpg,2023,2,20,12,363,f_Severe,2023-02-20,4.4,7.8,136.0,0.3,0.0,76.0
Bengaluru,BENGR_Mod_2023-02-21-08.30-1-111.jpg,2023,2,21,12,56,b_Moderate,2023-02-21,26.0,37.8,303.0,8.9,11.2,152.0
Tamil Nadu,TN_Good_2023-02-20-16.30-1.jpg,2023,2,20,12,43,a_Good,2023-02-20,2.1,3.0,150.0,2.1,0.4,78.0
Tamil Nadu,TN_UnFSG_2023-03-08-08.30-1-191.jpg,2023,3,8,12,121,c_Unhealthy_for_Sensitive_Groups,2023-03-08,21.1,30.5,475.0,70.5,1.8,17.0
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 15.00-2-54.jpg,2023,2,2,12,156,d_Unhealthy,2023-02-02,57.2,81.7,581.0,12.1,8.5,98.0
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-3785.jpg,2022,10,2,12,230,e_Very_Unhealthy,2022-10-02,16.6,23.7,513.0,2.0,1.8,93.0
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 1700-3-75.jpg,2023,2,2,12,156,d_Unhealthy,2023-02-02,57.2,81.7,581.0,12.1,8.5,98.0
"ITO, Delhi",DEL_SEV_2023-02-07-14.00-2-5.jpg,2023,2,7,12,449,f_Severe,2023-02-07,3.0,5.3,89.0,0.3,0.1,54.0
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-08-08.30-1-70.jpg,2023,2,8,12,133,c_Unhealthy_for_Sensitive_Groups,2023-02-08,53.7,112.2,526.0,86.8,19.1,87.0
"ITO, Delhi",DEL_SEV_2023-02-07-14.00-2-7.jpg,2023,2,7,12,449,f_Severe,2023-02-07,3.0,5.3,89.0,0.3,0.1,54.0
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-2-85.jpg,2023,2,16,12,293,e_Very_Unhealthy,2023-02-16,2.0,3.3,115.0,0.6,0.0,52.0
"Knowledge park, Greater Noida",UP_UN_2023-03-01-08.30-1-65.jpg,2023,3,1,12,199,d_Unhealthy,2023-03-01,21.1,47.7,354.0,67.2,13.3,48.0
Mumbai,MH_VUN_2023-03-05-08.30-1-81.jpg,2023,3,5,12,284,e_Very_Unhealthy,2023-03-05,278.5,401.4,1413.0,23.7,39.9,325.0
"Biratnagar, Nepal",BIR_UFSG_2023-02-14- 14.30-2-20.jpg,2023,2,14,12,101,c_Unhealthy_for_Sensitive_Groups,2023-02-14,43.3,62.6,471.0,15.4,7.5,101.0
"Knowledge park, Greater Noida",UP_SEV_2023-02-18-11.00-1-27.jpg,2023,2,18,12,320,f_Severe,2023-02-18,24.9,48.1,246.0,27.6,8.9,84.0
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 1700-2-29.jpg,2023,2,2,12,156,d_Unhealthy,2023-02-02,57.2,81.7,581.0,12.1,8.5,98.0
Bengaluru,BENGR_Mod_2023-03-09-08.30-1-186.jpg,2023,3,9,12,51,b_Moderate,2023-03-09,32.7,47.8,341.0,6.8,6.3,123.0
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 15.00-4-14.jpg,2023,2,2,12,156,d_Unhealthy,2023-02-02,57.2,81.7,581.0,12.1,8.5,98.0
Mumbai,MH_Good_2023-03-23-17.00-1-232.jpg,2023,3,23,12,47,a_Good,2023-03-23,18.4,34.5,257.0,17.2,19.2,71.0
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-03- 10.00-2-67.jpg,2023,2,3,12,163,d_Unhealthy,2023-02-03,69.8,99.7,581.0,11.6,6.8,112.0
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-1-50.jpg,2023,2,16,12,293,e_Very_Unhealthy,2023-02-16,2.0,3.3,115.0,0.6,0.0,52.0
"Biratnagar, Nepal",BIR_UFSG_2023-02-14- 14.30-3-15.jpg,2023,2,14,12,101,c_Unhealthy_for_Sensitive_Groups,2023-02-14,43.3,62.6,471.0,15.4,7.5,101.0
Bengaluru,BENGR_Mod_2023-02-21-08.30-1-291.jpg,2023,2,21,12,56,b_Moderate,2023-02-21,26.0,37.8,303.0,8.9,11.2,152.0
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-51.jpg,2023,2,4,12,281,e_Very_Unhealthy,2023-02-04,2.8,4.9,89.0,0.2,0.1,62.0
"Knowledge park, Greater Noida",UP_UHFSG_2023-03-06-11.30-1-609.jpg,2023,3,6,12,104,c_Unhealthy_for_Sensitive_Groups,2023-03-06,57.3,103.8,710.0,101.0,20.8,124.0
Tamil Nadu,TN_Good_2023-02-21-08.30-2-56.jpg,2023,2,21,12,29,a_Good,2023-02-21,2.1,3.2,146.0,1.6,0.3,82.0
Mumbai,MH_UH_2023-02-19-12.00-1-49.jpg,2023,2,19,12,160,d_Unhealthy,2023-02-19,143.0,205.8,1159.0,48.0,73.1,327.0
"Biratnagar, Nepal",BIR_UFSG_2023-02-14- 14.30-2-33.jpg,2023,2,14,12,101,c_Unhealthy_for_Sensitive_Groups,2023-02-14,43.3,62.6,471.0,15.4,7.5,101.0
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-2-11.jpg,2023,2,2,12,107,c_Unhealthy_for_Sensitive_Groups,2023-02-02,23.7,34.2,540.0,59.0,1.5,15.0
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-4241.jpg,2022,10,2,12,230,e_Very_Unhealthy,2022-10-02,16.6,23.7,513.0,2.0,1.8,93.0
"Biratnagar, Nepal",BRI_Un_2023-02-03- 10.00-7.jpg,2023,2,3,12,163,d_Unhealthy,2023-02-03,69.8,99.7,581.0,11.6,6.8,112.0
Mumbai,MH_UH_2023-02-10-14.30-1-38.jpg,2023,2,10,12,160,d_Unhealthy,2023-02-10,74.7,110.8,581.0,28.9,36.7,198.0
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-3-21.jpg,2023,2,2,12,158,d_Unhealthy,2023-02-02,57.2,81.7,581.0,12.1,8.5,98.0
Mumbai,MH_UnFSG_2023-02-17-19.00-2-21.jpg,2023,2,17,12,145,c_Unhealthy_for_Sensitive_Groups,2023-02-17,64.3,96.9,620.0,42.0,43.7,225.0
Mumbai,MH_UnFSG_2023-02-15-10.30-1-50.jpg,2023,2,15,12,143,c_Unhealthy_for_Sensitive_Groups,2023-02-15,82.2,119.0,737.0,40.3,51.8,253.0
"ITO, Delhi",DEL_SEV_2023-02-20-14.00-2-346.jpg,2023,2,20,12,363,f_Severe,2023-02-20,4.4,7.8,136.0,0.3,0.0,76.0
Bengaluru,BENGR_UnFSG_2023-03-08-08.30-1-476.jpg,2023,3,8,12,106,c_Unhealthy_for_Sensitive_Groups,2023-03-08,16.9,24.7,244.0,5.9,5.7,120.0
"Knowledge park, Greater Noida",UP_SEV_2023-02-18-14.30-1-75.jpg,2023,2,18,12,331,f_Severe,2023-02-18,24.9,48.1,246.0,27.6,8.9,84.0
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-16.00-3-61.jpg,2023,2,3,12,141,c_Unhealthy_for_Sensitive_Groups,2023-02-03,69.8,99.7,581.0,11.6,6.8,112.0
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-15.00-3-36.jpg,2023,2,3,12,141,c_Unhealthy_for_Sensitive_Groups,2023-02-03,69.8,99.7,581.0,11.6,6.8,112.0
"ITO, Delhi",DEL_VUH_2023-02-04-17.00-2-40.jpg,2023,2,4,12,281,e_Very_Unhealthy,2023-02-04,2.8,4.9,89.0,0.2,0.1,62.0
"Biratnagar, Nepal",BIR_MOD_2023-02-13-09.30-2-78.jpg,2023,2,13,12,91,b_Moderate,2023-02-13,40.7,59.3,429.0,13.7,9.2,101.0
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-2665.jpg,2022,10,2,12,230,e_Very_Unhealthy,2022-10-02,16.6,23.7,513.0,2.0,1.8,93.0
Mumbai,MH_UnFSG_2023-03-10-16.00-1-11.jpg,2023,3,10,12,141,c_Unhealthy_for_Sensitive_Groups,2023-03-10,51.1,75.7,577.0,42.8,39.8,185.0
Tamil Nadu,TN_Good_2023-02-20-16.30-2-1.jpg,2023,2,20,12,43,a_Good,2023-02-20,2.1,3.0,150.0,2.1,0.4,78.0
"ITO, Delhi",DEL_SEV_2023-02-20-14.00-1-306.jpg,2023,2,20,12,363,f_Severe,2023-02-20,4.4,7.8,136.0,0.3,0.0,76.0
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1833.jpg,2022,10,2,12,230,e_Very_Unhealthy,2022-10-02,16.6,23.7,513.0,2.0,1.8,93.0
Mumbai,MH_UnFSG_2023-02-15-10.30-1-84.jpg,2023,2,15,12,143,c_Unhealthy_for_Sensitive_Groups,2023-02-15,82.2,119.0,737.0,40.3,51.8,253.0
Bengaluru,BENGR_Mod_2023-03-09-08.30-1-336.jpg,2023,3,9,12,51,b_Moderate,2023-03-09,32.7,47.8,341.0,6.8,6.3,123.0
Tamil Nadu,TN_UnFSG_2023-03-01-08.30-1-136.jpg,2023,3,1,12,111,c_Unhealthy_for_Sensitive_Groups,2023-03-01,11.3,16.5,244.0,12.0,2.9,66.0
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-08-08.30-4.jpg,2023,2,8,12,133,c_Unhealthy_for_Sensitive_Groups,2023-02-08,53.7,112.2,526.0,86.8,19.1,87.0
Mumbai,MH_UnFSG_2023-02-15-10.30-1-18.jpg,2023,2,15,12,143,c_Unhealthy_for_Sensitive_Groups,2023-02-15,82.2,119.0,737.0,40.3,51.8,253.0
Bengaluru,BENGR_Mod_2023-03-04-08.30-1-126.jpg,2023,3,4,12,71,b_Moderate,2023-03-04,17.8,26.3,251.0,6.2,6.9,118.0
Mumbai,MH_Good_2023-03-22-18.00-1-49.jpg,2023,3,22,12,47,a_Good,2023-03-22,16.2,31.8,249.0,15.6,16.8,76.0
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-1-57.jpg,2023,2,16,12,293,e_Very_Unhealthy,2023-02-16,2.0,3.3,115.0,0.6,0.0,52.0
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 1700-3-41.jpg,2023,2,2,12,156,d_Unhealthy,2023-02-02,57.2,81.7,581.0,12.1,8.5,98.0
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-24-08.30-1.jpg,2023,2,24,12,141,c_Unhealthy_for_Sensitive_Groups,2023-02-24,132.7,224.4,1109.0,243.3,40.8,181.0
Mumbai,MH_VUN_2023-03-05-08.30-1-46.jpg,2023,3,5,12,284,e_Very_Unhealthy,2023-03-05,278.5,401.4,1413.0,23.7,39.9,325.0
Bengaluru,BENGR_Good_2023-02-19-08.30-1-14.jpg,2023,2,19,12,41,a_Good,2023-02-19,14.6,21.7,286.0,7.9,10.9,146.0
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-3657.jpg,2022,10,2,12,230,e_Very_Unhealthy,2022-10-02,16.6,23.7,513.0,2.0,1.8,93.0
"ITO, Delhi",DEL_SEV_2023-02-20-14.00-2-471.jpg,2023,2,20,12,363,f_Severe,2023-02-20,4.4,7.8,136.0,0.3,0.0,76.0
Mumbai,MH_UnFSG_2023-02-17-13.00-2-60.jpg,2023,2,17,12,140,c_Unhealthy_for_Sensitive_Groups,2023-02-17,64.3,96.9,620.0,42.0,43.7,225.0
Tamil Nadu,TN_UHFSG_2023-02-10-08.30-1-25.jpg,2023,2,10,12,105,c_Unhealthy_for_Sensitive_Groups,2023-02-10,3.4,5.3,152.0,3.8,0.5,78.0
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-44.jpg,2023,2,3,12,136,c_Unhealthy_for_Sensitive_Groups,2023-02-03,19.7,31.1,321.0,13.6,3.8,86.0
Bengaluru,BENGR_Mod_2023-03-04-08.30-1-121.jpg,2023,3,4,12,71,b_Moderate,2023-03-04,17.8,26.3,251.0,6.2,6.9,118.0
"ITO, Delhi",DEL_SEV_2023-02-20-14.00-2-291.jpg,2023,2,20,12,363,f_Severe,2023-02-20,4.4,7.8,136.0,0.3,0.0,76.0
Tamil Nadu,TN_Mod_2023-02-28-08.30-1-36.jpg,2023,2,28,12,73,b_Moderate,2023-02-28,3.8,5.7,174.0,4.3,0.9,75.0
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-16.00-1-25.jpg,2023,2,3,12,141,c_Unhealthy_for_Sensitive_Groups,2023-02-03,69.8,99.7,581.0,11.6,6.8,112.0
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-505.jpg,2022,10,2,12,230,e_Very_Unhealthy,2022-10-02,16.6,23.7,513.0,2.0,1.8,93.0
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-3-2.jpg,2023,2,2,12,158,d_Unhealthy,2023-02-02,57.2,81.7,581.0,12.1,8.5,98.0
Tamil Nadu,TN_Good_2023-02-21-08.30-1-71.jpg,2023,2,21,12,29,a_Good,2023-02-21,2.1,3.2,146.0,1.6,0.3,82.0
"Knowledge park, Greater Noida",UP_UN_2023-03-01-08.30-1-229.jpg,2023,3,1,12,199,d_Unhealthy,2023-03-01,21.1,47.7,354.0,67.2,13.3,48.0
"ITO, Delhi",DEL_SEV_2023-02-07-14.00-2-31.jpg,2023,2,7,12,449,f_Severe,2023-02-07,3.0,5.3,89.0,0.3,0.1,54.0
Tamil Nadu,TN_Good_2023-02-22-09.30-1-151.jpg,2023,2,22,12,36,a_Good,2023-02-22,8.3,12.4,216.0,13.8,2.4,52.0
